Timestamp,Raw Reading
2017-08-21 11:53:40,38.81 Degrees C: 101.86 Degrees F:
2017-08-21 11:53:42,38.75 Degrees C: 101.75 Degrees F:
2017-08-21 11:53:44,38.69 Degrees C: 101.64 Degrees F:
2017-08-21 11:53:46,38.63 Degrees C: 101.52 Degrees F:
2017-08-21 11:53:47,38.56 Degrees C: 101.41 Degrees F:
2017-08-21 11:53:49,38.50 Degrees C: 101.30 Degrees F:
2017-08-21 11:53:51,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:53:53,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:53:55,38.31 Degrees C: 100.96 Degrees F:
2017-08-21 11:53:56,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:53:58,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:54:00,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:54:02,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:54:03,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:54:05,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:54:07,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:54:09,38.31 Degrees C: 100.96 Degrees F:
2017-08-21 11:54:10,38.31 Degrees C: 100.96 Degrees F:
2017-08-21 11:54:12,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:54:14,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:54:16,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:54:18,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:54:19,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:54:21,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:54:23,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:54:25,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:54:26,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:54:28,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:54:30,38.50 Degrees C: 101.30 Degrees F:
2017-08-21 11:54:32,38.50 Degrees C: 101.30 Degrees F:
2017-08-21 11:54:34,38.56 Degrees C: 101.41 Degrees F:
2017-08-21 11:54:35,38.69 Degrees C: 101.64 Degrees F:
2017-08-21 11:54:37,38.75 Degrees C: 101.75 Degrees F:
2017-08-21 11:54:39,38.81 Degrees C: 101.86 Degrees F:
2017-08-21 11:54:41,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:54:42,38.94 Degrees C: 102.09 Degrees F:
2017-08-21 11:54:44,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:54:46,39.13 Degrees C: 102.42 Degrees F:
2017-08-21 11:54:48,39.19 Degrees C: 102.54 Degrees F:
2017-08-21 11:54:50,39.25 Degrees C: 102.65 Degrees F:
2017-08-21 11:54:51,39.38 Degrees C: 102.87 Degrees F:
2017-08-21 11:54:53,39.38 Degrees C: 102.87 Degrees F:
2017-08-21 11:54:55,39.44 Degrees C: 102.99 Degrees F:
2017-08-21 11:54:57,39.50 Degrees C: 103.10 Degrees F:
2017-08-21 11:54:58,39.50 Degrees C: 103.10 Degrees F:
2017-08-21 11:55:00,39.56 Degrees C: 103.21 Degrees F:
2017-08-21 11:55:02,39.63 Degrees C: 103.32 Degrees F:
2017-08-21 11:55:04,39.69 Degrees C: 103.44 Degrees F:
2017-08-21 11:55:06,39.63 Degrees C: 103.32 Degrees F:
2017-08-21 11:55:07,39.69 Degrees C: 103.44 Degrees F:
2017-08-21 11:55:09,39.69 Degrees C: 103.44 Degrees F:
2017-08-21 11:55:11,39.69 Degrees C: 103.44 Degrees F:
2017-08-21 11:55:13,39.69 Degrees C: 103.44 Degrees F:
2017-08-21 11:55:14,39.69 Degrees C: 103.44 Degrees F:
